scenario,config,world,seed,plant_mismatch,draw,plant_yaw_gain,plant_speed_yaw_loss,result,success,time_s,path_len_m,min_clear_m,stall_s,controller_mean_ms,controller_p95_ms,controller_max_ms,omega_sign_flips,mode_switches,branch_selection_fraction,unique_branch_ids,mean_ess,min_ess,mean_path_error_m,max_path_error_m
blocked,slip,49,0,0.3,2,0.9632534018490456,0.6980441679647583,success,1,34.95,9.54,0.11,3.95,303.626,494.963,580.771,14,9,0.46065808297567956,21,105.38730566097874,1.0,0.2262,0.8159
blocked,slip,49,0,0.3,3,0.8875002939113557,0.6302101176848609,success,1,35.8,9.55,0.046,6.3,387.705,506.972,550.179,20,12,0.49022346368715086,21,88.51188860458676,1.0000000000000138,0.1988,0.7604
blocked,slip,49,0,0.3,4,0.9922272025108682,0.6338684126758615,success,1,31.55,9.43,0.116,4.25,342.911,481.54,543.736,10,11,0.43898573692551507,21,88.84573861202773,1.0,0.1816,0.6911
blocked,slip,49,0,0.3,5,1.0481047644790333,0.4437384789897454,success,1,36.95,9.61,0.02,8.9,237.949,378.979,506.192,26,12,0.3531799729364005,18,66.99211269311324,1.0,0.1556,0.7889
blocked,slip,49,0,0.3,6,0.6866140180009503,0.47580830955253334,success,1,36.95,9.85,0.013,8.95,237.478,375.83,506.847,14,11,0.38430311231393777,18,65.69069532417959,1.0000007104427346,0.1837,0.9431
blocked,slip,49,0,0.3,7,0.8712124808897296,0.4171152636700116,success,1,33.6,9.62,0.114,4.8,231.68,313.324,489.356,20,11,0.5610119047619048,21,92.70565537512401,1.0000000000018816,0.2076,0.8474
blocked,slip,49,1,0.3,0,0.6158776340120589,0.7109011489326243,collision,0,19.1,3.73,-0.007,9.3,244.758,332.368,485.667,18,1,0.42408376963350786,12,62.009447518808116,1.0,0.0235,0.043
blocked,slip,49,1,0.3,1,0.905092114490157,0.6951831256182274,success,1,33.8,9.63,0.023,6.6,281.277,444.032,578.473,18,10,0.48668639053254437,19,70.3550581716546,1.0000000000000298,0.1728,0.7324
blocked,slip,49,1,0.3,2,0.6834513025061567,0.3916429279994923,collision,0,16.45,3.71,-0.001,6.8,307.852,475.643,533.129,12,1,0.49240121580547114,12,64.58965823104879,1.0000000000256204,0.0229,0.0419
blocked,slip,49,1,0.3,3,0.822933335213442,0.5395984404398205,success,1,35.05,9.79,0.008,8.0,307.946,459.76,4201.366,20,8,0.41512125534950073,19,71.2042899100261,1.000000000018165,0.1754,0.9251
blocked,slip,49,1,0.3,4,0.7891437473657498,0.4545304958415359,collision,0,16.45,3.72,-0.01,6.7,288.954,459.833,552.671,10,1,0.49240121580547114,13,66.187833731944,1.0000000265842994,0.0234,0.044
blocked,slip,49,1,0.3,5,0.8304138649843701,0.4352502608660534,collision,0,16.95,3.72,-0.005,7.1,428.629,521.932,558.065,10,1,0.4778761061946903,13,63.594799008291794,1.0,0.0231,0.0431
blocked,slip,49,1,0.3,6,0.6254994260109724,0.43175168403829317,collision,0,16.6,3.71,-0.001,7.0,374.675,526.022,589.766,6,1,0.4879518072289157,12,64.12600333955108,1.0,0.0222,0.0428
blocked,slip,49,1,0.3,7,0.7530928246773778,0.5583768803755753,collision,0,17.15,3.71,-0.005,7.35,339.317,495.676,563.579,14,3,0.48104956268221577,11,64.7731509858338,1.0,0.0233,0.0406
dynamic,slip,4,0,0.3,0,0.6936923674807876,0.5108603712901117,success,1,23.45,9.42,0.12,0.3,534.141,820.431,4603.464,4,6,0.07889125799573561,14,32.408224089261154,1.0027101210628713,0.0766,0.2688
dynamic,slip,4,0,0.3,1,1.063745360535613,0.5168867858697214,success,1,22.4,9.26,0.119,0.15,629.338,803.656,4732.817,10,4,0.09375,15,32.681331372614615,1.0000000002252456,0.0503,0.1368
dynamic,slip,4,0,0.3,2,0.8311778472797038,0.5404689431500065,success,1,22.8,9.36,0.115,0.05,469.312,664.015,4484.675,9,4,0.08991228070175439,15,33.60452545848494,1.0006790616691412,0.0688,0.2438
dynamic,slip,4,0,0.3,3,0.7431871027199279,0.5962666730087158,success,1,24.3,9.36,0.099,0.55,538.286,848.886,4780.637,12,4,0.1646090534979424,18,30.126811700200793,1.00092438656402,0.066,0.2432
dynamic,slip,4,0,0.3,4,0.6046056467266381,0.4803843316097797,success,1,24.6,9.36,0.107,0.55,468.682,707.778,4665.189,14,4,0.17886178861788618,14,29.153165065839513,1.0015526814021232,0.0663,0.2709
dynamic,slip,4,0,0.3,5,0.9567675249061701,0.6478083983163907,success,1,23.55,9.33,0.116,0.25,608.625,744.969,4525.078,12,4,0.15711252653927812,16,32.88033962967301,1.000640295426809,0.0606,0.1993
dynamic,slip,4,0,0.3,6,0.8189207312787303,0.4452301527722202,success,1,24.55,9.31,0.099,1.1,502.58,812.345,4842.834,12,6,0.18126272912423624,16,29.932116241735375,1.0046145751191669,0.0558,0.1996
dynamic,slip,4,0,0.3,7,1.008090037578636,0.451695755106654,success,1,22.45,9.28,0.096,0.5,684.546,800.776,4807.244,10,4,0.035634743875278395,15,34.36286107671567,1.0041831397974195,0.0542,0.1549
dynamic,slip,4,1,0.3,0,0.707532856302214,0.6678060455012056,collision,0,9.7,3.57,-0.0,0.1,733.631,884.885,4625.381,2,6,0.3402061855670103,10,45.00091747498547,1.000000000074805,0.2426,0.6274
dynamic,slip,4,1,0.3,1,0.600858846293649,0.3944773461466671,success,1,29.6,10.16,0.04,5.1,487.723,794.261,4714.604,8,13,0.3091216216216216,14,25.551419389600866,1.0,0.1655,0.637
dynamic,slip,4,1,0.3,2,0.6314907514990586,0.4868030789553097,collision,0,9.65,3.61,-0.001,0.1,821.302,918.833,4595.285,2,6,0.35233160621761656,10,45.714310526842596,1.0,0.2549,0.6405
dynamic,slip,4,1,0.3,3,0.6056630449061288,0.61651100971851,collision,0,9.65,3.29,-0.006,0.6,446.172,530.679,730.601,2,7,0.32642487046632124,9,45.141135573277055,1.0,0.1841,0.4866
dynamic,slip,4,1,0.3,4,0.8196193932909198,0.6949494909634159,collision,0,9.75,3.64,-0.007,0.1,498.212,781.68,873.814,2,5,0.3435897435897436,13,42.13447230802283,1.0,0.2509,0.6589
dynamic,slip,4,1,0.3,5,1.0195084462390394,0.3905183545368227,success,1,29.15,10.43,0.071,2.7,435.845,605.296,891.688,10,10,0.1646655231560892,17,50.88836472867975,1.0,0.1461,0.5974
dynamic,slip,4,1,0.3,6,1.019494302159636,0.6836276192426621,collision,0,9.05,3.3,-0.001,0.55,469.069,703.812,933.727,2,2,0.1712707182320442,8,57.709475236732814,1.0000000042520543,0.219,0.5697
dynamic,slip,4,1,0.3,7,0.5765899516161389,0.47280071981618815,collision,0,9.65,3.37,-0.002,0.45,781.054,860.563,920.173,2,5,0.37305699481865284,9,46.08804383115019,1.0,0.2009,0.5464
dynamic,slip,48,0,0.3,0,0.9338919085683437,0.47629417768805793,collision,0,5.1,1.98,-0.001,0.05,446.709,665.688,785.66,4,0,0.0,11,15.50212574965766,1.0021578042641084,0.1483,0.207
dynamic,slip,48,0,0.3,1,0.7017395090847686,0.3918023197978209,collision,0,5.1,1.97,-0.003,0.05,669.149,848.343,902.451,4,0,0.0,10,15.688349118113678,1.0002944017178281,0.17,0.2595
dynamic,slip,48,0,0.3,2,0.6417440552057836,0.4184328314947234,collision,0,4.8,1.8,-0.0,0.05,580.747,818.636,833.764,3,2,0.11458333333333333,11,14.824270916409018,1.0,0.1766,0.2836
dynamic,slip,48,0,0.3,3,1.010140720705524,0.5809300404000526,collision,0,5.05,1.95,-0.0,0.05,602.199,836.218,896.989,2,0,0.0,13,15.575034873737021,1.0067060520593514,0.1481,0.2166
dynamic,slip,48,0,0.3,4,0.7286892291430657,0.5472075318876746,collision,0,5.0,1.97,-0.001,0.05,460.953,638.425,713.528,4,2,0.14,11,16.00330707421331,1.0058851640647797,0.1753,0.275
dynamic,slip,48,0,0.3,5,0.8950906814261493,0.6202399628003488,collision,0,4.75,1.85,-0.002,0.05,436.19,653.604,865.336,4,2,0.07368421052631578,12,16.223953690673437,1.0008484829261262,0.1563,0.2533
dynamic,slip,48,0,0.3,6,0.9973122135980818,0.650903225156772,collision,0,5.05,1.96,-0.004,0.05,469.111,728.592,832.548,2,2,0.12871287128712872,12,15.415033375478357,1.0208293045048387,0.1491,0.2178
dynamic,slip,48,0,0.3,7,0.8687352480219025,0.4256689071670501,collision,0,4.75,1.75,-0.005,0.05,753.332,852.415,878.258,7,2,0.10526315789473684,9,14.703736089041936,1.0213834550876846,0.1691,0.2783
dynamic,slip,48,1,0.3,0,0.7979158579984937,0.5763667238546006,collision,0,4.05,1.32,-0.005,0.3,743.984,861.955,911.321,1,0,0.0,10,99.20454725653728,1.0000031563220393,0.0271,0.0455
dynamic,slip,48,1,0.3,1,0.9515636320895116,0.6281475858821477,collision,0,4.05,1.35,-0.006,0.05,464.534,637.746,828.047,1,0,0.0,8,99.17862505801389,1.0,0.0238,0.0404
dynamic,slip,48,1,0.3,2,0.6080983910194117,0.458652779995063,collision,0,4.05,1.34,-0.002,0.1,441.424,548.781,748.291,1,0,0.0,10,90.6491289326702,1.0021512769701746,0.0337,0.0558
dynamic,slip,48,1,0.3,3,0.9863797026113605,0.610779835333096,collision,0,4.05,1.34,-0.005,0.1,477.116,669.923,834.139,2,0,0.0,8,96.91812799573567,1.0,0.0228,0.0385
dynamic,slip,48,1,0.3,4,0.6025731034698985,0.7021649092955253,collision,0,4.1,1.32,-0.002,0.35,498.679,636.748,696.879,1,0,0.0,11,82.33842430524108,1.0,0.0369,0.061
dynamic,slip,48,1,0.3,5,0.9790236559937312,0.4193524057055864,collision,0,4.05,1.41,-0.006,0.05,772.12,862.428,892.317,1,0,0.0,9,103.4642090011181,1.0000000000000289,0.0222,0.0555
dynamic,slip,48,1,0.3,6,0.5830893025900723,0.5461939075262222,collision,0,4.05,1.36,-0.008,0.2,445.373,583.766,684.462,1,0,0.0,10,82.73775425889585,1.0,0.0366,0.0599
dynamic,slip,48,1,0.3,7,0.8426192011004235,0.440843611272432,collision,0,4.05,1.3,-0.0,0.4,440.671,571.658,750.635,1,0,0.0,11,91.46141477989617,1.0,0.0246,0.0421
