n,seed,condition,motion,result,success,min_clear_m,time_s,path_len_m,controller_mean_ms,blob_active_cycles,blob_cycles,blob_routes,blob_infeasible,blob_mean_ms,modes_added
30,16,modes,waypoint,success,1,0.029,47.0,17.05,398.884,0,0,0,0,0.0,286
30,16,blob_extras,waypoint,collision,0,-0.004,32.5,11.96,436.335,145,650,282,194,21.584,0
30,16,blob_pods,waypoint,success,1,0.025,34.45,13.53,445.265,157,689,460,323,23.984,0
30,17,base,waypoint,success,1,0.052,50.55,14.77,373.797,0,0,0,0,0.0,0
30,17,modes,waypoint,success,1,0.05,53.1,15.74,418.986,0,0,0,0,0.0,164
30,17,blob_extras,waypoint,success,1,0.114,51.4,17.95,434.038,247,1028,494,101,25.0,0
30,17,blob_pods,waypoint,success,1,0.046,52.2,15.95,379.913,287,1044,835,212,20.426,0
30,18,base,waypoint,success,1,0.154,35.2,14.49,375.085,0,0,0,0,0.0,0
30,18,modes,waypoint,success,1,0.016,48.05,16.27,424.105,0,0,0,0,0.0,140
30,18,blob_extras,waypoint,collision,0,-0.003,13.75,4.74,448.051,48,275,96,36,28.151,0
30,18,blob_pods,waypoint,success,1,0.067,47.85,16.18,334.688,242,957,684,143,17.832,0
30,19,base,waypoint,collision,0,-0.001,29.45,8.25,375.46,0,0,0,0,0.0,0
30,19,modes,waypoint,success,1,0.021,41.85,15.66,314.371,0,0,0,0,0.0,350
30,19,blob_extras,waypoint,collision,0,-0.0,28.6,8.91,410.169,314,572,628,319,21.817,0
30,19,blob_pods,waypoint,success,1,0.101,30.8,12.5,290.157,158,616,470,173,13.939,0
